eco,name,pgn,uci,epd,gambit_name,eco_gambit_name
A59,Benko Gambit Accepted: King Walk Variation,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 g6 6. Nc3 Bxa6 7. Nf3 d6 8. e4 Bxf1 9. Kxf1 Bg7 10. g3 O-O 11. Kg2,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 b5a6 g7g6 b1c3 c8a6 g1f3 d7d6 e2e4 a6f1 e1f1 f8g7 g2g3 e8g8 f1g2,rn1q1rk1/4ppbp/3p1np1/2pP4/4P3/2N2NP1/PP3PKP/R1BQ3R b - -,Benko Gambit,A59 Benko Gambit
A59,Benko Gambit Accepted: Yugoslav,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 Bxa6 6. Nc3 d6 7. e4,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 b5a6 c8a6 b1c3 d7d6 e2e4,rn1qkb1r/4pppp/b2p1n2/2pP4/4P3/2N5/PP3PPP/R1BQKBNR b KQkq -,Benko Gambit,A59 Benko Gambit
A59,Benko Gambit Accepted: Yugoslav,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 g6 6. Nc3 Bxa6 7. e4 Bxf1 8. Kxf1 d6 9. Nge2,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 b5a6 g7g6 b1c3 c8a6 e2e4 a6f1 e1f1 d7d6 g1e2,rn1qkb1r/4pp1p/3p1np1/2pP4/4P3/2N5/PP2NPPP/R1BQ1K1R b kq -,Benko Gambit,A59 Benko Gambit
A80,Blackmar-Diemer Gambit: Netherlands Variation,1. d4 f5 2. Nc3 d5 3. e4 dxe4,d2d4 f7f5 b1c3 d7d5 e2e4 d5e4,rnbqkbnr/ppp1p1pp/8/5p2/3Pp3/2N5/PPP2PPP/R1BQKBNR w KQkq -,Blackmar-Diemer Gambit,A80 Blackmar-Diemer Gambit
A80,Dutch Defense: Hevendehl Gambit,1. d4 f5 2. g4 e5,d2d4 f7f5 g2g4 e7e5,rnbqkbnr/pppp2pp/8/4pp2/3P2P1/8/PPP1PP1P/RNBQKBNR w KQkq -,Hevendehl Gambit,A80 Hevendehl Gambit
A80,Dutch Defense: Janzen-Korchnoi Gambit,1. d4 f5 2. h3 Nf6 3. g4,d2d4 f7f5 h2h3 g8f6 g2g4,rnbqkb1r/ppppp1pp/5n2/5p2/3P2P1/7P/PPP1PP2/RNBQKBNR b KQkq -,Janzen-Korchnoi Gambit,A80 Janzen-Korchnoi Gambit
A80,Dutch Defense: Kingfisher Gambit,1. d4 f5 2. Nc3 d5 3. e4,d2d4 f7f5 b1c3 d7d5 e2e4,rnbqkbnr/ppp1p1pp/8/3p1p2/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq -,Kingfisher Gambit,A80 Kingfisher Gambit
A80,Dutch Defense: Krejcik Gambit,1. d4 f5 2. g4,d2d4 f7f5 g2g4,rnbqkbnr/ppppp1pp/8/5p2/3P2P1/8/PPP1PP1P/RNBQKBNR b KQkq -,Krejcik Gambit,A80 Krejcik Gambit
A80,"Dutch Defense: Krejcik Gambit, Tate Gambit",1. d4 f5 2. g4 fxg4 3. e4 d5 4. Nc3,d2d4 f7f5 g2g4 f5g4 e2e4 d7d5 b1c3,rnbqkbnr/ppp1p1pp/8/3p4/3PP1p1/2N5/PPP2P1P/R1BQKBNR b KQkq -,Tate Gambit,A80 Tate Gambit
A80,"Dutch Defense: Manhattan Gambit, Anti-Classical Line",1. d4 f5 2. Qd3 e6 3. g4,d2d4 f7f5 d1d3 e7e6 g2g4,rnbqkbnr/pppp2pp/4p3/5p2/3P2P1/3Q4/PPP1PP1P/RNB1KBNR b KQkq -,Manhattan Gambit,A80 Manhattan Gambit
